"X_0","X_1","X_2","X_3","X_4","X_5","X_6","X_7","X_8","X_9","X_10","X_11","X_12","X_13","X_14","X_15","X_16","X_17","X_18","X_19","X_20","X_21","X_22","X_23","h","d","m","purchase_date","return_date","target"
-0.59,-0.46,-2.7,-0.35,-0.07,-3.01,-0.3,-0.01,-2.3,0.17,-0.98,1.12,-0.1,0.7,-2.14,-4.73,-2.6,-1.68,1.79,1.16,-2.72,0.9,-2.35,0.45,"d_11",11,29,"2001-06-30","2003-12-11 01:00:00",1
0.96,-0.66,-0.57,-2.62,-2.23,-1.42,1.85,0.25,0.59,0.25,3.65,-0.44,-0.43,3.6,1.89,-1.38,-0.2,-1.37,0.71,0.44,-1.55,-0.36,-2.8,-0.03,"d_6",6,21,"2016-10-13","2018-07-19 08:00:00",3
-0.28,-1.39,2.16,-0.24,0.48,4.35,-0.58,1.04,-3.11,0.92,1.12,-2.28,0.57,1.05,-0.16,-2.99,-0.98,-0.29,-0.22,-0.01,2.14,2.94,-1.86,-0.47,"d_6",6,4,"2007-08-29","2008-01-04 06:00:00",0
-0.62,0.4,-3.89,0.13,1.75,0.8,0.39,0.31,1.01,0.15,-1.79,-0.91,-0.52,1.83,3.46,3.65,0.0,0.87,3.05,1.01,-0.52,0.06,0.45,-1.84,"d_9",9,2,"2002-11-09","2003-01-18 10:00:00",1
1.1,1.68,-1.76,0.88,-0.37,-3.43,0.76,1.34,2.39,0.54,-1.49,1.24,-0.57,-2.27,3.0,1.66,0.52,-0.97,-1.59,2.31,1.14,0.34,-0.1,-0.08,"d_6",6,26,"2015-09-30","2017-12-06 07:00:00",3
0.02,-1.17,0.89,-2.43,-0.09,-8.26,0.6,0.69,0.22,1.27,-5.23,3.16,-1.62,-2.56,-6.18,-0.87,-1.81,0.55,0.27,0.77,-0.63,0.7,-3.49,0.37,"d_10",10,24,"2017-11-20","2019-11-30 11:00:00",1
-0.73,0.61,0.08,1.18,1.55,3.94,-0.84,0.76,2.68,-1.45,0.63,-3.98,-0.03,3.93,9.63,3.19,-3.17,-0.6,1.14,-0.23,1.56,-0.95,-1.88,0.84,"d_6",6,29,"2020-01-31","2022-07-06 06:00:00",1
-1.74,-0.99,-1.9,1.85,2.07,3.5,-1.3,1.43,2.74,0.61,1.44,-2.52,0.14,0.37,5.3,0.95,1.13,0.48,1.17,-0.7,1.38,-0.08,1.11,-0.15,"d_9",9,16,"2016-02-06","2017-06-15 08:00:00",1
0.32,0.13,-1.09,1.19,4.83,0.44,0.65,0.63,-0.28,0.99,-2.42,0.65,1.64,2.62,1.48,-0.13,1.6,0.55,-1.97,-0.45,0.24,-0.77,-1.1,1.19,"d_11",11,23,"2007-04-26","2009-04-06 06:00:00",0
1.13,2.12,-0.23,-0.23,-3.42,-4.81,-0.86,0.42,-2.25,-0.54,0.45,4.52,-2.14,1.89,-3.72,-3.75,-3.48,-1.3,-0.04,-2.16,-4.13,-0.09,0.65,0.87,"d_10",10,17,"2020-11-29","2022-05-09 03:00:00",2
0.15,-0.9,1.98,-0.05,0.28,-0.0,1.96,0.32,1.06,-0.66,-1.17,-1.19,1.22,-0.98,1.62,-1.41,1.04,1.88,-1.24,0.56,3.72,-0.59,-1.89,-0.31,"d_8",8,16,"2013-07-25","2014-12-03 03:00:00",3
-0.01,-0.33,0.25,-0.93,-2.53,0.49,1.28,0.58,0.37,1.02,0.7,-1.75,-0.37,3.54,4.19,-1.12,4.04,-0.09,-1.59,-1.04,-0.39,-1.38,0.71,1.47,"d_7",7,10,"2009-05-13","2010-03-20 11:00:00",0
1.43,-1.02,-2.34,-0.71,-0.42,-3.19,0.58,0.72,0.1,2.18,-0.54,0.11,0.31,2.17,0.6,-1.26,-1.46,0.48,0.9,0.07,-4.67,-1.24,-1.04,0.79,"d_9",9,3,"2007-10-13","2008-01-22 04:00:00",0
-0.61,1.68,6.0,1.55,4.4,5.4,-0.02,-0.12,0.51,-1.52,-0.58,-1.64,0.18,4.17,2.96,0.04,-0.93,-0.74,-4.66,-1.49,1.7,1.19,1.63,0.25,"d_10",10,16,"2007-07-10","2008-11-20 08:00:00",2
0.39,0.63,1.45,-1.43,-1.46,-5.31,-0.38,0.91,0.22,-0.54,-1.62,2.38,0.35,-0.88,-0.82,-1.26,-2.47,-0.01,-2.79,-0.42,0.07,0.96,-1.77,0.48,"d_6",6,11,"2013-11-28","2014-11-03 06:00:00",3
